"Subject","bin","type","mean"
2007,2,"alt_global",1421.06451612903
2009,2,"alt_global",-418.711538461539
2010,2,"alt_global",-26.7396825396826
2011,2,"alt_global",1081.53017241379
2012,2,"alt_global",690.387096774194
2015,2,"alt_global",558.803225806452
2016,2,"alt_global",-155.534562211981
2017,2,"alt_global",662.848387096774
2019,2,"alt_global",471.233716475096
2020,2,"alt_global",-74.6175115207373
2021,2,"alt_global",936.329365079365
2022,2,"alt_global",963.9
2023,2,"alt_global",487.79375
2024,2,"alt_global",864.568965517241
2025,2,"alt_global",1205.6
2026,2,"alt_global",570.564516129032
2027,2,"alt_global",1681.3082437276
2028,2,"alt_global",1010.55483870968
2029,2,"alt_global",798.922222222222
2031,2,"alt_global",656.075
2032,2,"alt_global",683.333333333333
2001,3,"alt_global",1787.13913043478
2002,3,"alt_global",1581.13888888889
2003,3,"alt_global",-455.717592592593
2004,3,"alt_global",1365.69534050179
2006,3,"alt_global",760.375
2007,3,"alt_global",1657.88172043011
2009,3,"alt_global",-470.932692307692
2010,3,"alt_global",-26.2
2011,3,"alt_global",1344.37438423645
2012,3,"alt_global",753.6
2015,3,"alt_global",708.951612903226
2016,3,"alt_global",-171.308755760369
2017,3,"alt_global",714.032258064516
2019,3,"alt_global",576.988505747126
2020,3,"alt_global",-95.6267281105991
2021,3,"alt_global",1251.2962962963
2022,3,"alt_global",1191.93125
2023,3,"alt_global",656.761290322581
2024,3,"alt_global",1108.25172413793
2025,3,"alt_global",1505.62580645161
2026,3,"alt_global",633.293906810036
2027,3,"alt_global",2121.97849462366
2028,3,"alt_global",1146.2935483871
2029,3,"alt_global",957.8
2031,3,"alt_global",797.012903225807
2032,3,"alt_global",924.8
2001,4,"alt_global",2504.7652173913
2002,4,"alt_global",2180.61111111111
2003,4,"alt_global",-606.958333333333
2004,4,"alt_global",1759.45519713262
2006,4,"alt_global",837.74375
2007,4,"alt_global",1986.62365591398
2009,4,"alt_global",-475.875
2010,4,"alt_global",-31.2795698924731
2011,4,"alt_global",1692.13793103448
2012,4,"alt_global",871.325806451613
2015,4,"alt_global",796.996415770609
2016,4,"alt_global",-181.266666666667
2017,4,"alt_global",903.187096774193
2019,4,"alt_global",684.812260536399
2020,4,"alt_global",16.1705069124424
2021,4,"alt_global",1563.54166666667
2022,4,"alt_global",1492.07419354839
2023,4,"alt_global",781.793548387097
2024,4,"alt_global",1383.10714285714
2025,4,"alt_global",2052.78387096774
2026,4,"alt_global",858.616487455197
2027,4,"alt_global",2471.18888888889
2028,4,"alt_global",1243.09318996416
2029,4,"alt_global",1480.55555555556
2031,4,"alt_global",997.861290322581
2032,4,"alt_global",1190.46666666667
2001,5,"alt_global",1675.61739130435
2002,5,"alt_global",3177.51388888889
2003,5,"alt_global",-961.791666666667
2004,5,"alt_global",2128.09677419355
2006,5,"alt_global",916.125
2007,5,"alt_global",2045.18996415771
2009,5,"alt_global",-661.817307692308
2010,5,"alt_global",-26.4516129032259
2011,5,"alt_global",2261.32142857143
2012,5,"alt_global",1044.93225806452
2015,5,"alt_global",896.139784946237
2016,5,"alt_global",-245.233333333333
2017,5,"alt_global",1295.99641577061
2019,5,"alt_global",893.232142857143
2020,5,"alt_global",-4.24731182795699
2021,5,"alt_global",1631.75
2022,5,"alt_global",1847.13548387097
2023,5,"alt_global",898.451612903226
2024,5,"alt_global",1518.50396825397
2025,5,"alt_global",2790.31182795699
2026,5,"alt_global",932.519713261649
2027,5,"alt_global",2668.27777777778
2028,5,"alt_global",1256.76702508961
2029,5,"alt_global",1955.86666666667
2031,5,"alt_global",1222.56451612903
2032,5,"alt_global",1514.15517241379
2001,6,"alt_global",382.339130434783
2002,6,"alt_global",3969.58791208791
2003,6,"alt_global",-1473.89814814815
2004,6,"alt_global",2697.76344086022
2006,6,"alt_global",912.703225806452
2007,6,"alt_global",1515.27240143369
2009,6,"alt_global",-473.913461538461
2010,6,"alt_global",281.225806451613
2011,6,"alt_global",3090.39285714286
2012,6,"alt_global",1576
2015,6,"alt_global",1268.41218637993
2016,6,"alt_global",-731.333333333333
2017,6,"alt_global",1867.13261648746
2019,6,"alt_global",1029.19642857143
2020,6,"alt_global",-241.274193548387
2021,6,"alt_global",2202.35185185185
2022,6,"alt_global",1887.62007168459
2023,6,"alt_global",1155.79928315412
2024,6,"alt_global",2052.11111111111
2025,6,"alt_global",3550.90322580645
2026,6,"alt_global",751.014336917563
2027,6,"alt_global",2396.91111111111
2028,6,"alt_global",1324.03333333333
2029,6,"alt_global",2922.38888888889
2031,6,"alt_global",1521.61290322581
2032,6,"alt_global",1569.18007662835
