subID,mean_cv_rt,mean_oe_rt,pure_RT,switch_altrun_rt,non_altrun_rt,switch_rand_rt,non_rand_rt,global_cost_alt_RT,global_cost_rand_RT,local_switch_cost_alt_RT,local_switch_cost_rand_RT,Group
2020,1198.478723,1168.902174,1183.690449,911.0232558,1067.325,1127.547619,1156.846154,-116.3654487,-26.84429481,-156.3017442,-29.2985348,MCI
2021,1299.463158,1650.710145,1475.086651,2693.416667,2745.529412,2608.938776,2206.705882,1270.44276,731.6192309,-52.1127451,402.2328932,MCI
2022,903.2105263,847.6595745,875.4350504,2085.836364,2208.847458,2428.431034,2260.293103,1333.412407,1384.858053,-123.011094,168.137931,MCI
2023,794.6276596,846.5319149,820.5797872,1639.092593,1532.465517,1706.275862,1838.180328,711.88573,1017.600541,106.6270754,-131.9044658,MCI
2024,982.5280899,1053.219512,1017.873801,3377.442308,2252.844828,2997.666667,2335.891304,1234.971027,1318.017503,1124.59748,661.7753623,MCI
2025,971.0631579,760.1505376,865.6068478,2518.769231,2813.568966,2224.704918,2487.357143,1947.962118,1621.750295,-294.7997347,-262.6522248,MCI
2026,800.8152174,1213.276596,1007.045907,2123.75,1690.089286,2379.068966,1446.77193,683.0433791,439.7260233,433.6607143,932.2970357,MCI
2027,1336.387097,1750.857143,1543.62212,3600.839286,3577.163636,3112.392857,2839.54386,2033.541517,1295.92174,23.67564935,272.8489975,MCI
2028,1018.644444,899.0315789,958.8380117,2314.446429,2039.824561,2018.839286,1958.033333,1080.98655,999.1953216,274.6218672,60.80595238,MCI
2029,905.0430108,1139.215909,1022.12946,2619.851852,2456.090909,2066.315789,1794.913793,1433.961449,772.7843332,163.7609428,271.4019964,MCI
2031,886.893617,853.6595745,870.2765957,2083.666667,1800.633333,1957.37931,1665.534483,930.3567376,795.257887,283.0333333,291.8448276,MCI
2032,1370.823529,1243.451613,1307.137571,2327.4,2334.932203,2679.357143,2240.785714,1027.794632,933.6481431,-7.53220339,438.5714286,MCI
1001,808.6041667,746.6526316,777.6283991,2074.559322,2159.932203,2115.737705,1699.169492,1382.303804,921.5410924,-85.37288136,416.5682134,Healthy
1002,883.3052632,927.0967742,905.2010187,1640.966102,1716.754098,1855.483333,1831.966102,811.5530797,926.765083,-75.78799667,23.51723164,Healthy
1003,1019.450549,855.4255319,937.4380407,2627.830189,2651.983333,2661.881356,1745.672414,1714.545293,808.2343731,-24.15314465,916.2089421,Healthy
1007,1076.020833,1911.535714,1493.778274,2050.792453,1915.563636,1837.070175,1563.698113,421.7853626,69.9198394,135.2288165,273.3720622,Healthy
1008,743.6736842,610.2631579,676.9684211,1474.912281,1327.3,1690.622951,1260.084746,650.3315789,583.1163247,147.6122807,430.5382051,Healthy
1009,1770.3125,1241.810526,1506.061513,2601.192982,2312.9,2755.258621,2511.37931,806.8384868,1005.317797,288.2929825,243.8793103,Healthy
1010,1628.170213,1479.467391,1553.818802,5089.4375,5381.142857,4942.974359,4562.847826,3827.324055,3009.029024,-291.7053571,380.1265329,Healthy
1011,656.106383,730.5268817,693.3166323,1682.612069,1599.224138,1682.612069,1599.224138,905.9075056,905.9075056,83.38793103,83.38793103,Healthy
1014,1003.020833,1477.435897,1240.228365,2299.039216,1885.528302,2249.090909,2335.092593,645.2999365,1094.864227,413.5109138,-86.0016835,Healthy
1015,731.3645833,771.9148936,751.6397385,1981.655172,1921.666667,1543.736842,1503.189655,1170.026928,751.5499167,59.98850575,40.54718693,Healthy
1016,992.8842105,986.7804878,989.8323492,1776.3,1998.777778,2127.45614,1756.36,1008.945429,766.5276508,-222.4777778,371.0961404,Healthy
1017,552.9247312,673.0212766,612.9730039,1712.631579,1650.5,1708.793103,1766.368421,1037.526996,1153.395417,62.13157895,-57.5753176,Healthy
1018,900.0860215,1598.235955,1249.160988,2340.482759,2109.8,2603.928571,2157.20339,860.6390117,908.0424015,230.6827586,446.7251816,Healthy
1019,769.4148936,962.5913978,866.0031457,1676.215686,1774.857143,1996.210526,1742.701754,908.8539971,876.6986087,-98.64145658,253.5087719,Healthy
1020,989.344086,1022.351648,1005.847867,2110.6,1812.017241,2591.226415,2081.175439,806.1693742,1075.327571,298.5827586,510.0509765,Healthy
1022,687.2,1088.956989,888.0784946,1962.018182,1885.709091,2260.65,2248.232143,997.6305963,1360.153648,76.30909091,12.41785714,Healthy
1023,579.8020833,669.8736842,624.8378838,1464.033898,1381.311475,1355.733333,1248.578947,756.4735916,623.7410636,82.7224229,107.154386,Healthy
1024,945.2708333,781.3368421,863.3038377,1630.932203,1502.57377,1987.901639,1791.118644,639.2699328,927.8148063,128.3584329,196.7829953,Healthy
1025,918.9052632,1040.042553,979.4739082,2623.836364,2642.559322,2352.113208,2201.877193,1663.085414,1222.403285,-18.7229584,150.2360146,Healthy
3001,795.46875,828.8404255,812.1545878,1496.696429,1618.344262,1584.1,1541.857143,806.1896745,729.7025551,-121.6478337,42.24285714,Healthy
3002,742.1382979,900.2553191,821.1968085,2588.086207,2710.639344,3392.637931,2510.087719,1889.442536,1688.890911,-122.5531374,882.5502117,Healthy
3003,711.4166667,1548.417582,1129.917125,1692.160714,1828.315789,1741.127273,1474.527273,698.3986649,344.6101482,-136.1550752,266.6,Healthy
3004,642.8681319,756.3296703,699.5989011,1431.135593,1134.864407,1467.111111,1257.6,435.2655057,558.0010989,296.2711864,209.5111111,Healthy
3006,646.7526882,616.1935484,631.4731183,1193.79661,964.442623,1615.491525,1452.694915,332.9695047,821.221797,229.3539872,162.7966102,Healthy
3007,712.3870968,692.4347826,702.4109397,2008.932203,2046.566667,1731.084746,1512.803571,1344.155727,810.3926317,-37.63446328,218.2811743,Healthy
